[0, 0, 0]
Voltage_1 (1)	Current_1 (1)	Current_2 (1)	logcurrent	opticalpower	wallplug
2.852587	0.077388	0.021049	-2.5589235491659	0.14222297297297	0.64425415933161
2.854994	0.078383	0.021313	-2.546148211873	0.14400675675676	0.64351072318307
2.857443	0.079392	0.021581	-2.5333576714727	0.14581756756757	0.64276989954131
2.859804	0.08039	0.021846	-2.5208654886423	0.14760810810811	0.64205453224022
2.862104	0.081387	0.022111	-2.5085397238876	0.14939864864865	0.64136642063698
2.864416	0.082395	0.022377	-2.4962305235194	0.15119594594595	0.64062398916165
2.866686	0.08339	0.022641	-2.4842268808832	0.15297972972973	0.6399407854363
2.868933	0.084385	0.022905	-2.4723656182937	0.15476351351351	0.63926793315562
2.871202	0.0854	0.023173	-2.4604091781876	0.15657432432432	0.63855590845081
2.873425	0.08639	0.023434	-2.4488833506113	0.15833783783784	0.63785412756635
2.875662	0.087402	0.0237	-2.4372371132873	0.16013513513514	0.63712907084244
2.877842	0.088397	0.023963	-2.425917246566	0.16191216216216	0.63646569367284
2.880026	0.089395	0.024225	-2.4146905267784	0.16368243243243	0.63575887741184
2.882219	0.090405	0.02449	-2.403455703379	0.16547297297297	0.63504959358329
2.884359	0.0914	0.024751	-2.392509800522	0.16723648648649	0.63435961290335
2.886528	0.092413	0.025017	-2.3814876175901	0.16903378378378	0.63367222202123
2.888645	0.093413	0.025278	-2.3707247571374	0.1707972972973	0.63296471654528
2.890741	0.094404	0.025538	-2.360171833847	0.17255405405405	0.63230350444379
2.892872	0.095418	0.025802	-2.3494880390803	0.17433783783784	0.63158546700905
2.894945	0.096407	0.026061	-2.339176465894	0.17608783783784	0.63092897860254
2.897018	0.097403	0.026321	-2.3288982679866	0.17784459459459	0.63025622356098
2.899105	0.098414	0.026584	-2.3185722086215	0.17962162162162	0.62956095286421
2.90114	0.09941	0.026843	-2.3085025667581	0.18137162162162	0.62888404284639
2.903189	0.100421	0.027104	-2.2983839302495	0.18313513513514	0.62816223302614
2.905188	0.101414	0.02736	-2.2885441302943	0.18486486486486	0.62745447843633
2.907194	0.102406	0.027618	-2.2788099743433	0.18660810810811	0.62680303893839
2.909216	0.103421	0.027881	-2.2689472427512	0.18838513513514	0.62612627759019
2.911198	0.104418	0.028137	-2.259353204602	0.19011486486486	0.62541596083543
